No,Answer Granularity,PIC,Question,Answer,Law,Chapter,Article,Subsection,Letter (1st level)
11,Huruf,Douglas,Apa yang dimaksud dengan RPTKA?,Rencana Penggunaan Tenaga Kerja Asing yang selanjutnya disingkat RPTKA adalah rencana penggunaan TKA pada jabatan tertentu dan jangka waktu tertentu.,PP 34/2021,1,1,,4
12,Ayat,Douglas/Fariz,Pemberi kerja TKA meliputi apa saja?,"Pemberi Kerja TKA meliputi:
a. instansi Pemerintah, perwakilan negara asing, dan badan internasional;
b. kantor perwakilan dagang asing, kantor perwakilan perusahaan asing, dan kantor berita asing yang melakukan kegiatan di Indonesia;
c. perusahaan swasta asing yang berusaha di Indonesia;
d. badan hukum dalam bentuk perseroan terbatas atau yayasan yang didirikan berdasarkan hukum Indonesia atau badan usaha asing yang terdaftar di instansi yang berwenang;
e. lembaga sosial, keagamaan, pendidikan, dan kebudayaan;
f. Usaha jasa impresariat; dan
g. Badan usaha sepanjang diperbolehkan oleh undang-undang untuk menggunakan TKA.",PP 34/2021,2,3,1,
13,Ayat,Douglas/Fariz,Berapa lama proses verifikasi data calon TKA oleh yang berkewajiban?,Data calon TKA dan dokumen dilakukan verifikasi oleh Menteri atau pejabat yang ditunjuk paling lama 2 (dua) hari kerja.,PP 34/2021,3,15,4,
14,Ayat,Douglas,Untuk jabatan apa TKA dapat dipekerjakan oleh lebih dari satu pemberi kerja TKA?,"Pemberi Kerja TKA dapat mempekerjakan TKA yang sedang dipekerjakan oleh Pemberi Kerja TKA lain untuk jabatan yang sama sebagai:
a. direksi atau komisaris; atau
b. TKA pada sektor pendidikan vokasi dan pelatihan vokasi, sektor ekonomi digital, dan sektor migas bagi kontraktor kontrak kerja sama.",PP 34/2021,2,5,1,
15,Ayat,Douglas,Bolehkah pemberi kerja TKA mengutamakan penggunaan TKA dibandingkan dengan tenaga kerja Indonesia?,Setiap Pemberi Kerja TKA wajib mengutamakan penggunaan tenaga kerja Indonesia pada semua jenis jabatan yang tersedia.,PP 34/2021,2,2,1,
16,Ayat,Fariz,Berapa lama jangka waktu pengesahan RPTKA untuk pekerjaan yang bersifat sementara?,"Pengesahan RPTKA untuk pekerjaan bersifat
sementara diberikan untuk jangka waktu paling
lama 6 (enam) bulan dan tidak dapat diperpanjang.",PP 34/2021,3,17,1,
17,Ayat,Fariz,Apakah wajib bagi pemberi kerja TKA untuk membayar DKPTKA atas tiap pekerja TKA-nya?,"Pemberi Kerja TKA wajib membayar DKPTKA atas
setiap TKA yang dipekerjakan.",PP 34/2021,3,23,1,
18,Ayat,Fariz,Apakah tiap TKA di Indonesia wajib punya izin tinggal?,"Setiap TKA yang dipekerjakan oleh Pemberi Kerja
TKA di Indonesia wajib memiliki izin tinggal.",PP 34/2021,4,27,1,
19,Ayat,Douglas,Bagaimana alur pengajuan penggunaan TKA untuk jangka waktu tertentu pada startup?,"Untuk mempekerjakan TKA pada jenis kegiatan perusahaan rintisan (start-up) berbasis teknologi dan vokasi untuk jangka waktu tertentu sebagaimana dimaksud pada ayat (1) huruf c, Pemberi Kerja TKA harus menyampaikan data calon TKA secara daring kepada Menteri atau pejabat yang ditunjuk.",PP 34/2021,3,19,2,
20,Ayat,Douglas,Siapa TKA yang wajib untuk didaftarkan dalam program jaminan sosial?,Pemberi Kerja TKA wajib mendaftarkan TKA dalam program jaminan sosial nasional bagi TKA yang bekerja lebih dari 6 (enam) bulan atau program asuransi pada perusahaan asuransi bagi TKA yang bekerja kurang dari 6 (enam) bulan.,PP 34/2021,2,8,1,
21,Ayat,Douglas,Berapa lama penerbitan perubahan pengesahan RPTKA sejak permohonannya dinyatakan lengkap?,Perubahan Pengesahan RPTKA sebagaimana dimaksud pada ayat (1) diterbitkan oleh Menteri atau pejabat yang ditunjuk paling lama 2 (dua) hari kerja sejak permohonan dinyatakan lengkap dan benar.,PP 34/2021,3,22,2,
22,Ayat,Douglas,Apakah pemberi kerja TKA wajib memiliki RPTKA?,Setiap Pemberi Kerja TKA yang mempekerjakan TKA wajib memiliki RPTKA yang disahkan oleh Menteri atau pejabat yang ditunjuk.,PP 34/2021,2,6,1,
23,Ayat,Douglas,Siapa yang berhak mengawasi penggunaan TKA?,"Pengawasan penggunaan TKA dilaksanakan oleh:
a. Pengawas Ketenagakerjaan pada kementerian yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan dan/atau dinas yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan provinsi, dan/atau
b. Pejabat imigrasi yang bertugas di bidang pengawasan dan penindakan keimigrasian, secara terkoordinasi sesuai dengan lingkup tugas dan kewenangan masing-masing.",PP 34/2021,6,35,1,
24,Ayat,Douglas,Apa saja yang dapat menyebabkan sanksi pencabutan pengesahan RPTKA?,"Sanksi pencabutan Pengesahan RPTKA sebagaimana dimaksud dalam Pasal 36 ayat (1) huruf c dikenakan kepada Pemberi Kerja TKA yang melanggar ketentuan:
a. mempekerjakan TKA tidak sesuai dengan Pengesahan RPTKA sebagaimana dimaksud dalam Pasal 6 ayat (3),
b. mempekerjakan TKA rangkap jabatan dalam perusahaan yang sama sebagaimana dimaksud dalam Pasal 10;
c. mempekerjakan TKA pada jabatan yang mengurusi personalia sebagaimana dimaksud dalam Pasal 11 ayat (1); dan/atau
d. tidak membayar DKPTKA atas setiap TKA yang dipekerjakan sebagaimana dimaksud dalam Pasal 23 ayat (1).",PP 34/2021,7,40,1,
25,Ayat,Douglas,Kapan paling lambat permohonan perpanjangan pengesahan RPTKA perlu diajukan?,Permohonan perpanjangan Pengesahan RPTKA sebagaimana dimaksud pada ayat (1) diajukan paling lambat 30 (tiga puluh) hari kerja sebelum jangka waktu berakhir.,PP 34/2021,3,21,2,
26,Ayat,Douglas,Data apa yang dapat diubah dalam perubahan pengesahan RPTKA?,"Pemberi Kerja TKA dapat mengajukan permohonan perubahan Pengesahan RPTKA secara daring kepada Menteri atau pejabat yang ditunjuk mengenai:
a. alamat Pemberi Kerja TKA;
b. identitas TKA;
c. lokasi kerja TKA; dan/atau
d. nama Tenaga Kerja Pendamping TKA yang dipekerjakan.",PP 34/2021,3,22,1,
27,Ayat,Douglas,Apa saja yang wajib dilampirkan untuk Permohonan Pengesahan RPTKA?,"Permohonan Pengesahan RPTKA sebagaimana dimaksud pada ayat (2) disampaikan oleh Pemberi Kerja TKA dengan melampirkan dokumen paling sedikit:
a. surat permohonan,
b. nomor induk berusaha dan/atau izin usaha Pemberi Kerja TKA;
c. akta dan keputusan pengesahan pendirian dan/atau perubahan dari instansi yang berwenang;
d. bukti wajib lapor ketenagakerjaan di perusahaan;
e. rancangan perjanjian kerja atau perjanjian lain;
f. bagan struktur organisasi perusahaan;
g. surat pernyataan untuk penunjukan Tenaga Kerja Pendamping TKA;
h. surat pernyataan untuk melaksanakan pendidikan dan pelatihan kerja bagi tenaga kerja Indonesia sesuai dengan kualifikasi jabatan yang diduduki oleh TKA; dan
i. surat pernyataan untuk memfasilitasi pendidikan dan pelatihan bahasa Indonesia kepada TKA.",PP 34/2021,3,12,3,
28,Pasal,Douglas,Bagaimana penilaian kelayakan permohonan Pengesahan RPTKA yang diatur dalam peraturan?,"(1) Menteri atau pejabat yang ditunjuk melakukan penilaaan kelayakan permohonan Pengesahan RPTKA yang diajukan oleh Pemberi Kerja TKA sejak dinyatakan lengkap dan benar.
(2) Menteri atau pejabat yang ditunjuk sebagaimana dimaksud pada ayat (1) menerbitkan hasil penilaian kelayakan Pengesahan RPTKA paling lama 2 (dua) hari kerja setelah Pemberi Kerja TKA dinilai layak berdasarkan penilaian kelayakan.",PP 34/2021,3,13,,
29,Pasal,Douglas/Fariz,Siapa yang dapat melaksanakan pelatihan bahasa Indonesia kepada TKA?,Pendidikan dan pelatihan bahasa Indonesia kepada TKA dapat dilaksanakan oleh Pemberi Kerja TKA atau bekerja sama dengan lembaga pendidikan atau lembaga pelatihan bahasa Indonesia.,PP 34/2021,5,30,,
30,Pasal,Douglas,Dapatkah pemberi kerja mempekerjakan TKA yang juga sedang dipekerjakan oleh pemberi kerja lainnya?,"(1) Pemberi Kerja TKA dapat mempekerjakan TKA yang sedang dipekerjakan oleh Pemberi Kerja TKA lain untuk jabatan yang sama sebagai:
a. direksi atau komisaris; atau
b. TKA pada sektor pendidikan vokasi dan pelatihan vokasi, sektor ekonomi digital, dan sektor migas bagi kontraktor kontrak kerja sama.
(2) Dalam hal Pemberi Kerja TKA akan mempekerjakan TKA sebagaimana dimaksud pada ayat (1), TKA tersebut harus mendapatkan persetujuan dari Pemberi Kerja TKA pertama.
(3) TKA sebagaimana dimaksud pada ayat (1) dipekerjakan paling lama sampai dengan berakhirnya jangka waktu sebagaimana tercantum dalam Pengesahan RPTKA Pemberi Kerja TKA pertama.
(4) Jabatan tertentu pada sektor pendidikan vokasi dan pelatihan vokasi, sektor ekonomi digital, dan sektor migas bagi kontraktor kontrak kerja sama yang dapat dirangkap sebagaimana dimaksud pada ayat (1) huruf b ditetapkan oleh Menteri setelah mendapat masukan dari kementerian/lembaga terkait.",PP 34/2021,2,5,,
31,Pasal,Fariz,Apakah pemberi kerja orang perseorangan boleh mempekerjakan TKA?,"Pemberi kerja orang perseorangan dilarang
mempekerjakan TKA.",PP 34/2021,2,9,,
32,Pasal,Fariz,Apakah boleh pemberi kerja TKA mempekerjakan TKA untuk mengurusi personalia?,"(1) Pemberi Kerja TKA dilarang mempekerjakan TKA pada jabatan yang mengurusi personalia.
(2) Jabatan yang mengurusi personalia sebagaimana dimaksud pada ayat (1) ditetapkan oleh Menteri setelah mendapat masukan dari kementerian/lembaga terkait.",PP 34/2021,2,11,,
33,Pasal,Fariz,Pengesahan RPTKA terdiri dari apa saja?,"Pengesahan RPTKA terdiri atas:
a. RPTKA untuk pekerjaan bersifat sementara;
b. RPTKA untuk pekerjaan lebih dari 6 (enam) bulan;
c. RPTKA non-DKPTKA; dan
d. RPTKA KEK.",PP 34/2021,3,16,,
34,Pasal,Douglas,Apa tujuan dari penunjukan tenaga kerja Indonesia sebagai Tenaga Kerja Pendamping TKA?,"(1) Penunjukan tenaga kerja Indonesia sebagai Tenaga Kerja Pendamping TKA dilaksanakan untuk alih teknologi dan alih keahlian.
(2) Alih teknologi dan alih keahlian sebagaimana dimaksud pada ayat (1) dilaksanakan melalui pendidikan dan/atau pelatihan kerja kepada Tenaga Kerja Pendamping TKA sehingga memiliki kemampuan untuk mengimplementasikan teknologi yang dipergunakan oleh TKA dalam melaksanakan pekerjaan.",PP 34/2021,5,28,,
35,Pasal,Douglas,Jabatan apa yang dikecualikan dari kewajiban membayar DKPTKA?,"(1) Kewajiban membayar DKPTKA tidak berlaku bagi:
a. instansi Pemerintah;
b. perwakilan negara asing;
c. badan internasional;
d. lembaga sosial;
e. lembaga keagamaan; dan
f. jabatan tertentu di lembaga pendidikan.
(2) Jabatan tertentu di lembaga pendidikan yang dibebaskan pembayaran DKPTKA sebagaimana dimaksud pada ayat (1) huruf f ditetapkan oleh Menteri setelah mendapatkan masukan dari kementerian yang menyelenggarakan urusan pemerintahan di bidang pendidikan.",PP 34/2021,3,25,,
36,Pasal,Douglas,Kepada siapa pengesahan RPTKA non-DKPTKA diberikan?,"Pengesahan RPTKA non-DKPTKA diberikan kepada Pemberi Kerja TKA untuk instansi Pemerintah, perwakilan negara asing, badan internasional, lembaga sosial, lembaga keagamaan, dan jabatan tertentu di lembaga pendidikan.",PP 34/2021,3,18,,
37,Pasal,Douglas,Apakah pemberi kerja TKA wajib memberikan program asuransi kepada TKA?,"(1) Pemberi Kerja TKA wajib mendaftarkan TKA dalam program jaminan sosial nasional bagi TKA yang bekerja lebih dari 6 (enam) bulan atau program asuransi pada perusahaan asuransi bagi TKA yang bekerja kurang dari 6 (enam) bulan.
(2) Program asuransi bagi TKA yang bekerja kurang dari 6 (enam) bulan sebagaimana dimaksud pada ayat (1) paling sedikit menjamin pelindungan untuk jenis risiko kecelakaan kerja.",PP 34/2021,2,8,,
38,Pasal,Douglas,Bagaimana ketentuan pelaksanaan pelatihan bagi Tenaga Kerja Pendamping TKA?,"(1) Pendidikan dan pelatihan kerja bagi Tenaga Kerja Pendamping TKA dapat dilaksanakan di dalam dan/atau di luar negeri.
(2) Tenaga Kerja Pendamping TKA yang mengikuti pendidikan dan pelatihan kerja sebagaimana dimaksud pada ayat (1) mendapat sertifikat pendidikan dan pelatihan kerja dan/atau sertifikat kompetensi sesuai dengan ketentuan peraturan perundang-undangan.
(3) Pelaksanaan pendidikan dan pelatihan kerja bagi Tenaga Kerja Pendamping TKA di dalam negeri sebagaimana dimaksud pada ayat (1) dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan.",PP 34/2021,5,29,,
39,Pasal,Douglas,Siapa yang berhak melakukan pembinaan penggunaan TKA?,Pembinaan penggunaan TKA dilakukan oleh kementerian yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan dan dinas yang menyelenggarakan urusan pemerintahan di bidang ketenagakerjaan provinsi dan kabupaten/kota sesuai dengan kewenangannya.,PP 34/2021,6,34,,
40,Pasal,Douglas,Dapatkan Pemberi Kerja TKA melakukan perpanjangan Pengesahan RPTKA?,Pasal 21,PP 34/2021,3,21,,
41,Bab,Douglas/Fariz,Bagaimana ketentuan-ketentuan pelatihan kerja bagi TKA dan pendamping?,(PP 34/2021 Pasal 28...Pasal 31),PP 34/2021,5,,,
42,Bab,Douglas,Apakah TKA berhak bertempat tinggal di Indonesia?,"Pasal 27
(1) Setiap TKA yang dipekerjakan oleh Pemberi Kerja TKA di Indonesia wajib memiliki izin tinggal
(2) Jenis dan tata cara pemberian izin tinggal sebagaimana dimaksud pada ayat (1) sesuai dengan ketentuan peraturan perundang-undangan di bidang keimigrasian",PP 34/2021,4,,,
43,Bab,Fariz,Bagaimana aturan-aturan terkait pengesahan rencana penggunaan TKA?,(PP 34/2021 Pasal 12...Pasal 26),PP 34/2021,3,,,
44,Bab,Fariz,Apa saja kewajiban dan larangan untuk pemberi kerja TKA?,(PP 34/2021 Pasal 2...Pasal 11),PP 34/2021,2,,,
45,Bab,Fariz,Apa saja istilah-istilah penting terkait penggunaan TKA?,Pasal 1,PP 34/2021,1,,,
46,Bab,Douglas,Bagaimana status keberlakuan dari perizinan penggunaan TKA setelah peraturan ini mulai berlaku?,"Pasal 45
Pada saat Peraturan Pemerintah ini mulai berlaku:
a. perizinan penggunaan TKA yang sudah terbit masih tetap berlaku sampai dengan habis masa berlakunya, dan
b. perizinan penggunaan TKA yang sedang dalam proses permohonan disesuaikan dengan ketentuan dalam Peraturan Pemerintah ini.",PP 34/2021,10,,,
47,Bab,Douglas,Jelaskan uraian hukuman yang berlaku bagi pelanggaran ketentuan-ketentuan yang berkaitan dengan TKA,Pasal 36-42,PP 34/2021,7,,,
48,Bab,Douglas,Bagaimana ketentuan penggunaan data dari proses penggunaan TKA?,"Pasal 44
Proses penggunaan TKA sebagaimana diatur dalam
Peraturan Pemerintah ini dilakukan melalui
penggunaan data secara bersama dan terintegrasi
secara daring.",PP 34/2021,9,,,
49,Bab,Douglas,Bagaimana ketentuan kontrol di masa TKA dipekerjakan oleh Pemberi Kerja TKA?,Pasal 32-35,PP 34/2021,6,,,
50,Bab,Douglas,Bagaimana mekanisme pendanaan dari implementasi regulasi mengenai TKA?,"Pasal 43
Segala pendanaan yang diperlukan untuk pelaksanaan Peraturan Pemerintah ini dibebankan pada Anggaran Pendapatan dan Belanja Negara, Anggaran Pendapatan dan Belanja Daerah provinsi, serta sumber pendanaan lainnya yang sah sesuai dengan ketentuan peraturan perundang-undangan.",PP 34/2021,8,,,
1,Huruf,Douglas,Berapa banyak makanan dan minuman yang wajib diberikan Perusahaan yang mempekerjakan Pekerja/Buruh selama Waktu Kerja Lembur?,"Perusahaan yang mempekerjakan Pekerja/Buruh selama Waktu Kerja Lembur berkewajiban:
c. memberikan makanan dan minuman paling sedikit 1.400 (seribu empat ratus) kilo kalori, apabila kerja lembur dilakukan selama 4 (empat) jam atau lebih.",PP 35/2021,4,29,1,c
2,Huruf,Douglas,Seberapa besar uang pesangon yang wajib diberikan terhadap Pekerja/Buruh terdampak PHK karena alasan sakit berkepanjangan atau cacat akibat kecelakaan kerja?,"Pengusaha dapat melakukan Pemutusan Hubungan Kerja terhadap Pekerja/Buruh karena alasan Pekerja/ Buruh mengalami sakit berkepanjangan atau cacat akibat kecelakaan kerja dan tidak dapat melakukan pekerjaannya setelah melampaui batas 12 (dua belas) bulan maka Pekerja/Buruh berhak atas: 
a. uang pesangon sebesar 2 (dua) kali ketentuan Pasal 40 ayat (2);",PP 35/2021,5,55,1,a
3,Huruf,Douglas,Apa yang perlu dimuat dalam PKWT terkait hak dan kewajiban?,"PKWT paling sedikit memuat:
f. hak dan kewajiban Pengusaha dan Pekerja/Buruh sesuai dengan ketentuan peraturan perundang-undangan dan/atau syarat kerja yang diatur dalam Peraturan Perusahaan atau Perjanjian Kerja Bersama;",PP 35/2021,2,13,,f
4,Huruf,Douglas,Apakah PKWT untuk jangka waktu tertentu boleh dibuat untuk produk baru?,"PKWT berdasarkan jangka waktu sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf a dibuat untuk pekerjaan tertentu yaitu:
c. pekerjaan yang berhubungan dengan produk baru, kegiatan baru, atau produk tambahan yang masih dalam percobaan atau penjajakan.",PP 35/2021,2,5,1,c
5,Huruf,Douglas,Bagaimana ketentuan waktu kerja untuk 5 hari kerja dalam 1 minggu?,"Waktu kerja sebagaimana dimaksud pada ayat (1) meliputi:
b. 8 (delapan)jam 1 (satu) hari dan 40 (empat puluh) jam 1 (satu) minggu untuk 5 (lima) hari kerja dalam 1 (satu) minggu.",PP 35/2021,4,21,2,b
6,Huruf,Douglas,Bagaimana ketentuan untuk Pemutusan Hubungan Kerja bagi Pekerja/Buruh yang mengundurkan diri atas kemauan sendiri?,"Pemutusan Hubungan Kerja dapat terjadi karena alasan:
i. Pekerja/Buruh mengundurkan diri atas kemauan sendiri dan harus memenuhi syarat:
  1. mengajukan permohonan pengunduran diri secara tertulis selambat lambatnya 30 (tiga puluh) hari sebelum tanggal mulai pengunduran diri;
  2. tidak terikat dalam ikatan dinas; dan 
  3. tetap melaksanakan kewajibannya sampai tanggal mulai pengunduran diri;",PP 35/2021,5,36,,i
7,Huruf,Douglas,Apakah cuti tahunan yang belum diambil termasuk dalam uang penggantian hak dari Pemutusan Hubungan Kerja?,"Uang penggantian hak yang seharusnya diterima sebagaimana dimaksud pada ayat (1) meliputi:
a. cuti tahunan yang belum diambil dan belum gugur;",PP 35/2021,5,40,4,a
8,Huruf,Douglas,Apa yang dimaksud dengan Perusahaan Alih Daya?,"Dalam Peraturan Pemerintah ini yang dimaksud dengan:
14. Perusahaan Alih Daya adalah badan usaha berbentuk badan hukum yang memenuhi syarat untuk melaksanakan pekerjaan tertentu berdasarkan perjanjian yang disepakati dengan Perusahaan pemberi pekerjaan.",PP 35/2021,1,1,,14
9,Huruf,Douglas,Berapa besar uang pesangon yang diberikan untuk masa kerja kurang dari 1 tahun?,"Uang pesangon sebagaimana dimaksud pada ayat (1) diberikan dengan ketentuan sebagai berikut:
a. masa kerja kurang dari 1 (satu) tahun, 1 (satu) bulan Upah;",PP 35/2021,5,40,2,a
10,Huruf,Douglas,Bagaimana ketentuan uang pisah untuk Pekerja/Buruh yang mengundurkan diri dan telah memenuhi syarat?,"Pekerja/Buruh yang mengundurkan diri atas kemauan sendiri dan memenuhi syarat sebagaimana dimaksud dalam Pasal 36 huruf i, berhak atas:
b. uang pisah yang besarannya diatur dalam Perjanjian Kerja, Peraturan Perusahaan, atau Perjanjian Kerja Bersama.",PP 35/2021,5,50,,b
11,Huruf,Fariz,Apakah jenis kelamin termasuk yang perlu dimuat di PKWT?,"PKWT paling sedikit memuat:
b. nama, jenis kelamin, umur, dan alamat Pekerja/Buruh;",PP 35/2021,2,13,,b
12,Huruf,Fariz,Apakah jangka waktu merupakan salah satu dasar dari PKWT?,"PKWT didasarkan atas:
a. jangka waktu; atau",PP 35/2021,2,4,1,a
13,Huruf,Fariz,"Selain musim atau cuaca, apa saja satu lagi faktor yang dapat mendefinisikan pekerjaan yang bersifat musiman?","Pekerjaan yang bersifat musiman sebagaimana dimaksud dalam Pasal 5 ayat (1) huruf b merupakan pekerjaan yang pelaksanaannya tergantung pada:
b. kondisi tertentu.",PP 35/2021,2,7,1,b
14,Huruf,Fariz,Apakah memberi kesempatan istirahat merupakan kewajiban untuk perusahaan yang mempekerjakan pekerja untuk lembur?,"Perusahaan yang mempekerjakan Pekerja/Buruh selama Waktu Kerja Lembur berkewajiban:
b. memberi kesempatan untuk istirahat secukupnya;",PP 35/2021,4,29,1,b
15,Ayat,Douglas,Apa saja yang menjadi dasar penentu PKWT?,"PKWT didasarkan atas:
a. jangka waktu; atau
b. selesainya suatu pekerjaan tertentu.",PP 35/2021,2,4,1,
16,Ayat,Douglas,Apakah masa percobaan kerja menjadi salah satu syarat di PKWT?,PKWT tidak dapat mensyaratkan adanya masa percobaan kerja.,PP 35/2021,2,12,1,
17,Ayat,Douglas,Paling lama berapa tahun PKWT berdasarkan jangka waktu dibuat untuk?,PKWT berdasarkan jangka waktu sebagaimana dimaksud dalam Pasal 5 ayat (1) dapat dibuat untuk paling lama 5 (lima) tahun.,PP 35/2021,2,8,1,
18,Ayat,Douglas,Apa yang dimuat dalam Perjanjian Kerja harian?,"Perjanjian Kerja harian sebagaimana dimaksud pada ayat (1) dapat dibuat secara kolektif dan paling sedikit memuat:
a. nama/alamat Perusahaan atau pemberi kerja;
b. nama/alamat Pekerja/Buruh;
c. jenis pekerjaan yang dilakukan; dan
d. besarnya Upah.",PP 35/2021,2,11,2,
19,Ayat,Douglas,Kapan pemberian uang kompensasi dilaksanakan?,Pemberian uang kompensasi dilaksanakan pada saat berakhirnya PKWT.,PP 35/2021,2,15,2,
20,Ayat,Douglas,Berapa paling lama waktu kerja lembur dapat dilakukan?,Waktu Kerja Lembur hanya dapat dilakukan paling lama 4 (empat) jam dalam 1 (satu) hari dan 18 (delapan belas) jam dalam 1 (satu) minggu.,PP 35/2021,4,26,1,
21,Ayat,Douglas,Apakah jangka waktu PKWT dapat dilakukan perpanjangan?,"Dalam hal jangka waktu PKWT sebagaimana dimaksud pada ayat (1) akan berakhir dan pekerjaan yang dilaksanakan belum selesai maka dapat dilakukan perpanjangan PKWT dengan jangka waktu sesuai kesepakatan antara Pengusaha dengan Pekerja/Buruh, dengan ketentuan jangka waktu keseluruhan PKWT beserta perpanjangannya tidak lebih dari 5 (lima) tahun.",PP 35/2021,2,8,2,
22,Ayat,Douglas,Bagaimana ketentuan dari uang pesangon Pemutusan Hubungan Kerja?,"Uang pesangon sebagaimana dimaksud pada ayat (1) diberikan dengan ketentuan sebagai berikut:
a. masa kerja kurang dari 1 (satu) tahun, 1 (satu) bulan Upah;
b. masa kerja 1 (satu) tahun atau lebih tetapi kurang dari 2 (dua) tahun, 2 (dua) bulan Upah;
c. masa kerja 2 (dua) tahun atau lebih tetapi kurang dari 3 (tiga) tahun, 3 (tiga) bulan Upah;
d. masa kerja 3 (tiga) tahun atau lebih tetapi kurang dari 4 (empat) tahun, 4 (empat) bulan Upah;
e. masa kerja 4 (empat) tahun atau lebih tetapi kurang dari 5 (lima) tahun, 5 (lima) bulan Upah;
f. masa kerja 5 (lima) tahun atau lebih, tetapi kurang dari 6 (enam) tahun, 6 (enam) bulan Upah;
g. masa kerja 6 (enam) tahun atau lebih tetapi kurang dari 7 (tujuh) tahun, 7 (tujuh) bulan Upah;
h. masa kerja 7 (tujuh) tahun atau lebih tetapi kurang dari 8 (delapan) tahun, 8 (delapan) bulan Upah; dan
i. masa kerja 8 (delapan) tahun atau lebih, 9 (sembilan) bulan Upah.",PP 35/2021,5,40,2,
23,Ayat,Douglas,Bagaimana hak Pekerja/Buruh yang terkena Pemutusan Hubungan Kerja karena alasan keadaan memaksa (force majeure) sehingga perusahaan tutup?,"Pengusaha dapat melakukan Pemutusan Hubungan Kerja terhadap Pekerja/Buruh karena alasan Perusahaan tutup yang disebabkan keadaan memaksa (force majeure) maka Pekerja/Buruh berhak atas:
a. uang pesangon sebesar 0,5 (nol koma lima) kali ketentuan Pasal 40 ayat (2);
b. uang penghargaan masa kerja sebesar 1 (satu) kali ketentuan Pasal 40 ayat (3); dan
c. uang penggantian hak sesuai ketentuan Pasal 40 ayat (4).",PP 35/2021,5,45,1,
24,Ayat,Douglas,Kapan paling lama pemberitahuan Pemutusan Hubungan Kerja perlu diberitahukan?,Pemberitahuan Pemutusan Hubungan Kerja dibuat dalam bentuk surat pemberitahuan dan disampaikan secara sah dan patut oleh Pengusaha kepada Pekerja/Buruh dan/atau Serikat Pekerja/Serikat Buruh paling lama 14 (empat belas) hari kerja sebelum Pemutusan Hubungan Kerja.,PP 35/2021,5,37,3,
25,Ayat,Fariz,Perjanjian kerja dibuat secara bagaimana?,Perjanjian Kerja dibuat secara tertulis atau lisan.,PP 35/2021,2,2,2,
